Name,Kills,DBNOs,Damage,Assists,HS,Revives,Survival
Zodyak-,15,9,"1,392.27",1,4,5,"141 min., 12 sec."
Subtle--,13,9,"1,995.61",6,4,2,"135 min., 10 sec."
SneakyN1nja,8,6,"1,101.05",0,3,2,"132 min., 34 sec."
J4zon,10,13,"1,840.57",3,3,4,"128 min., 37 sec."
HypeRNT,12,11,"1,998.23",1,1,3,"128 min., 25 sec."
aggro---,5,6,914.35,2,2,1,"125 min., 58 sec."
DillAnn,2,4,441.5,4,0,1,"125 min., 51 sec."
Camberghini,6,9,"2,091.71",4,2,2,"125 min., 21 sec."
Maji_tv,9,10,"1,726.97",4,1,4,"124 min., 57 sec."
Tazonator,11,11,"1,584.00",5,2,4,"123 min., 7 sec."
HaimK,9,6,"1,463.34",6,1,6,"120 min., 19 sec."
notLush,6,9,"2,011.99",3,0,0,"119 min., 30 sec."
Inn8,8,9,"1,663.91",3,4,2,"119 min., 4 sec."
Twitch-evasionyx,13,11,"2,268.59",3,5,1,"118 min., 20 sec."
Freemeplease,3,2,"1,103.19",6,0,0,"118 min., 16 sec."
Supernovaa-,10,8,"1,922.46",2,4,5,"117 min., 45 sec."
RAWRimBUMBLEBEE,1,5,"1,463.16",4,1,1,"117 min., 31 sec."
xGoldShinobi,1,1,310.77,0,0,0,"116 min., 29 sec."
TrainAllDay,8,7,"1,980.57",5,1,5,"116 min., 10 sec."
Twitch-Zrayven,7,9,"2,236.23",6,1,1,"115 min., 45 sec."
Tyler_Now,14,8,"2,026.86",3,1,2,"113 min., 3 sec."
QuicKeYeS,9,8,916.22,3,1,3,"111 min., 16 sec."
hellauchiha,5,4,"1,569.98",4,1,3,"111 min., 9 sec."
Lac_m,3,5,966.12,3,1,1,"109 min., 45 sec."
DivineMiseryTTV,7,7,"1,372.10",4,0,2,"109 min., 25 sec."
GregShotGG,6,9,"1,237.76",0,1,3,"107 min., 42 sec."
Bantha1_TTV,5,5,"1,043.05",3,0,3,"107 min., 11 sec."
Weum00,9,8,"1,440.91",4,2,2,"105 min., 19 sec."
maaro,8,8,"1,352.91",1,1,4,"103 min., 59 sec."
Maouh_,4,6,"1,542.81",6,0,0,"103 min., 8 sec."
KingB--,5,5,"1,305.53",3,2,0,"100 min., 1 sec."
Ripp3r_,7,8,"1,047.74",6,0,3,"98 min., 24 sec."
Twitch-CobaltFPS,1,2,775.38,1,0,0,"98 min., 23 sec."
Lac_nt,9,9,"1,974.85",2,3,1,"97 min., 36 sec."
HiP_aMenD,6,6,774.05,0,3,1,"97 min., 15 sec."
oldless,4,8,"1,227.16",5,1,0,"93 min., 22 sec."
SFU_ZulMox,4,5,839.53,1,2,3,"92 min., 43 sec."
SFU_Scythro,5,3,765.97,1,0,5,"92 min., 13 sec."
LightShowGG-TV,12,11,"1,649.31",2,6,0,"92 min., 5 sec."
Matty50,4,5,631.83,2,1,1,"91 min., 5 sec."
Balefrost,8,12,"1,851.23",5,2,0,"90 min., 23 sec."
KhaeG0,8,7,"1,567.22",5,1,1,"90 min., 18 sec."
SFU_ArSsoN,6,5,995.41,5,0,2,"89 min., 31 sec."
Zoveren,6,4,"1,272.18",4,4,2,"89 min., 24 sec."
ParadoxLG,3,4,669.86,0,0,3,"87 min., 50 sec."
FizzleTV,6,5,"1,034.29",3,2,1,"87 min., 7 sec."
Palecks,2,1,660.3,1,0,2,"86 min., 15 sec."
JohnnyB--,0,2,86.92,1,0,3,"82 min., 31 sec."
Dstem,4,4,696.04,1,2,1,"82 min., 29 sec."
Grunto311,2,3,729.2,3,0,1,"81 min., 45 sec."
HiP_LANDMIN3,1,3,716.82,2,1,0,"80 min., 21 sec."
RichyBanned_LUL,8,8,"1,396.43",4,1,3,"79 min., 15 sec."
TyBamlin,1,1,309.65,1,0,2,"77 min., 17 sec."
vegasu,4,7,"1,287.72",3,0,0,"73 min., 9 sec."
ImWik,4,5,358.01,0,0,1,"69 min., 47 sec."
Trekker-,5,3,"1,138.41",3,1,1,"68 min., 33 sec."
itssRegennTTV,1,1,265.98,1,1,2,"67 min., 24 sec."
littlekitty__,4,7,982.78,0,1,1,"64 min., 16 sec."
Littlefoot_J,2,2,237.68,0,0,0,"61 min., 5 sec."
SFU_Duzzloe,1,2,799.37,5,0,0,"60 min., 48 sec."
HiP_Luxer,3,2,508.3,4,1,0,"59 min., 30 sec."
Aidan_O1888,1,2,478,1,0,1,"59 min., 23 sec."
eNixi,2,1,239.19,0,1,2,"57 min., 4 sec."
Lac_ck,0,1,258.66,1,0,1,"56 min., 36 sec."
OBVIOUSCHEATER,5,6,906.13,1,0,0,"56 min., 17 sec."
DatTrinity,5,5,804.17,3,0,1,"56 min., 4 sec."
KingdomPlays,3,1,554.83,1,0,1,"55 min., 53 sec."
Jsnow4life,3,4,567.92,0,0,0,"51 min., 28 sec."
Twitch-TsoK,2,2,142.05,0,0,0,"48 min., 53 sec."
Lac_na,2,4,702.2,1,0,0,"48 min., 9 sec."
SoupBTW,3,6,736.46,1,1,1,"47 min., 37 sec."
MR_NzaNe,2,1,100,0,1,1,"47 min., 26 sec."
s1_Diesel,0,2,442.36,0,0,2,"46 min., 18 sec."
MOON3Y,1,3,234.28,2,0,1,"44 min., 43 sec."
DarkDreamzz,1,2,365.96,4,0,0,"42 min., 56 sec."
Ullr-,0,0,114.44,0,0,0,"34 min., 55 sec."
MsAvori,0,0,78.72,0,0,1,"34 min., 7 sec."
Lac_Dabl0,0,0,146.37,2,0,0,"23 min., 53 sec."
Jvk3,0,0,109.47,0,0,0,"18 min., 41 sec."
QuattroLow,2,2,530.63,0,1,0,"17 min., 16 sec."
Yusougle,0,0,116.95,0,0,0,"17 min., 2 sec."
yeEthanC,3,3,360.57,0,1,0,"16 min., 59 sec."
RetaIiate,0,1,0,0,0,0,"13 min., 54 sec."
SoupHD,0,0,178.18,1,0,0,"11 min., 11 sec."
deadbuster,0,1,121.49,1,0,1,"9 min., 25 sec."
Delta---,1,1,192.13,2,0,0,"7 min., 39 sec."
Pown_Otto,0,0,0,0,0,0,"7 min., 32 sec."
