Name,Kills,DBNOs,Damage,Assists,HS,Revives,Survival
yeEthanC,19,18,"2,735.79",6,4,4,"139 min., 11 sec."
RichyBanned_LUL,10,13,"2,731.30",11,3,2,"125 min., 1 sec."
KingB--,6,8,"1,563.50",5,2,1,"118 min., 11 sec."
lemonsqueezy_TTV,6,4,"1,098.98",0,0,2,"117 min., 32 sec."
Maji_tv,8,7,"1,667.86",8,1,2,"116 min., 28 sec."
Subtle--,7,5,"1,248.35",3,1,3,"115 min., 2 sec."
Hirschy12,6,7,"1,296.58",4,0,4,"115 min., 2 sec."
Zodyak-,5,5,983.27,0,0,2,"112 min., 18 sec."
Twitch-Zrayven,14,14,"2,734.54",4,5,0,"112 min., 5 sec."
FireFighta,9,6,"1,406.99",5,4,3,"111 min., 33 sec."
PCLPLAYER,7,5,"1,170.41",4,2,2,"109 min., 6 sec."
frid8y,5,7,861.93,1,0,1,"108 min., 48 sec."
Tyler_Now,18,15,"2,501.29",4,5,2,"107 min., 38 sec."
Zogwort,3,6,"1,196.32",2,0,1,"107 min., 4 sec."
Lunchbox_Plays,8,7,"1,189.99",8,0,1,"106 min., 1 sec."
Ripp3r_,7,7,877.85,1,1,1,"104 min., 8 sec."
PB_WilliaNdiV,5,6,"1,053.96",4,1,1,"103 min., 59 sec."
mitchieboi-ttv,11,8,"1,905.37",5,1,3,"103 min., 1 sec."
DoucheyDuece,3,1,535.09,2,2,0,"102 min., 27 sec."
shivo0,5,3,705.42,3,1,4,"100 min., 49 sec."
ChronicalHerbzz,3,6,765.98,1,1,3,"100 min., 48 sec."
RAWRimBUMBLEBEE,4,3,892.26,2,2,1,"99 min., 53 sec."
Yusougle,2,3,842.7,2,0,1,"99 min., 19 sec."
Littlefoot_J,2,1,864.66,4,0,0,"98 min., 29 sec."
Regimes,5,4,756.19,1,1,2,"97 min., 40 sec."
DemonDanTV,1,1,595.61,3,0,0,"95 min., 21 sec."
syLLy-,1,3,843.83,1,0,1,"94 min., 6 sec."
littlekitty__,3,2,692.28,0,0,1,"93 min., 27 sec."
RXBoost,6,7,934.37,7,2,4,"92 min., 57 sec."
Weum00,13,10,"1,696.55",2,2,1,"92 min., 34 sec."
Dstem,5,5,707.95,0,1,1,"92 min., 30 sec."
QuattroLow,4,2,755.89,1,1,0,"91 min., 41 sec."
SoupHD,8,9,"1,428.15",2,0,1,"89 min., 43 sec."
Spoons--,2,4,453.13,0,0,1,"88 min., 58 sec."
De_Hoshi,2,4,497.85,4,1,2,"88 min., 43 sec."
TyBamlin,3,4,458.41,0,0,1,"88 min., 25 sec."
NiMaith,0,1,708.78,0,0,2,"88 min., 11 sec."
Tanaka--,4,5,"1,187.24",3,1,3,"87 min., 33 sec."
CO_Bluecoat,4,3,483.67,2,2,0,"87 min., 19 sec."
Sn0rlaxTTV,7,6,873.22,1,1,0,"86 min., 20 sec."
4EARTH-,1,3,575.64,0,0,2,"86 min., 13 sec."
Twitch-evasionyx,8,10,"1,297.37",1,2,1,"85 min., 29 sec."
mikeNIFICO,4,2,743.26,3,1,1,"83 min., 17 sec."
Satire_HazeteN,7,6,"1,427.38",2,1,0,"81 min., 49 sec."
PB_Flick,4,4,983.17,3,2,0,"80 min., 48 sec."
TheHandicrapper,1,4,285.21,1,0,0,"78 min., 29 sec."
MsAvori,1,2,408.52,1,0,0,"78 min., 20 sec."
Guntalk_NA,2,3,"1,168.81",1,0,0,"73 min., 35 sec."
Winnypewpew,6,2,667.71,3,0,1,"73 min., 31 sec."
MVPotatoe_TTV,4,4,466.83,0,2,0,"72 min., 47 sec."
RetaIiate,2,1,486.08,1,1,0,"71 min., 52 sec."
Ullr-,1,2,455.22,1,0,1,"71 min., 14 sec."
wazzupi,3,2,631.3,1,0,1,"66 min., 14 sec."
IC3MAN_NAVY,1,2,419.68,2,0,2,"57 min., 29 sec."
Twitch-Crawfresh,5,5,967.31,2,2,2,"57 min., 2 sec."
KidCody,5,6,"1,180.65",1,1,0,"53 min., 10 sec."
Lac_Dabl0,3,3,539.98,0,0,1,"46 min., 49 sec."
DannyG-,2,3,866.46,2,1,0,"41 min., 17 sec."
Opticalkiller,1,1,31.16,1,0,1,"34 min., 19 sec."
IV_Peru,0,1,132.74,1,0,1,"25 min., 13 sec."
Trekker-,0,0,24.12,1,0,0,"19 min., 28 sec."
colzzy,1,1,121.07,0,1,0,"9 min., 39 sec."
